Index,Date,Open,High,Low,Close,Volume
Nifty Bank,2022-04-01,36298.35,37209.80,36242.35,37148.50,0
Nifty Bank,2022-04-04,37824.95,38765.85,37665.55,38635.20,0
Nifty Bank,2022-04-05,38731.30,38759.25,37935.95,38067.90,0
Nifty Bank,2022-04-06,37711.30,37868.50,37513.85,37632.80,0
Nifty Bank,2022-04-07,37421.75,37975.90,37346.80,37557.35,0
Nifty Bank,2022-04-08,37619.70,37884.20,37405.20,37752.05,0
Nifty Bank,2022-04-11,37591.75,37941.75,37524.45,37613.80,0
Nifty Bank,2022-04-12,37407.40,37920.60,37264.45,37747.40,0
Nifty Bank,2022-04-13,37887.30,37988.60,37408.20,37463.40,0
Nifty Bank,2022-04-18,36833.15,36965.85,36441.35,36729.00,0
Nifty Bank,2022-04-19,36806.80,37123.55,35926.30,36341.60,0
Nifty Bank,2022-04-20,36482.60,36513.85,36114.05,36314.90,0
Nifty Bank,2022-04-21,36513.10,36913.35,36395.70,36816.10,0
Nifty Bank,2022-04-22,36514.15,36578.95,35991.50,36044.75,0
Nifty Bank,2022-04-25,35792.35,36270.15,35511.40,36082.35,0
Nifty Bank,2022-04-26,36515.35,36604.55,36265.90,36404.80,0
Nifty Bank,2022-04-27,36067.55,36175.90,35747.15,36028.85,0
Nifty Bank,2022-04-28,36189.95,36501.10,35951.10,36422.20,0
Nifty Bank,2022-04-29,36474.05,36718.80,35978.95,36088.15,0
Nifty Bank,2022-05-02,35627.60,36235.25,35618.20,36163.75,0
Nifty Bank,2022-05-04,36266.15,36309.30,35127.85,35264.55,0
Nifty Bank,2022-05-05,35705.35,35934.85,35133.80,35232.85,0
Nifty Bank,2022-05-06,34569.10,34797.95,34353.20,34591.20,0
Nifty Bank,2022-05-09,34091.75,34554.35,33927.20,34275.40,0
Nifty Bank,2022-05-10,34181.20,34781.80,34176.80,34482.65,0
Nifty Bank,2022-05-11,34686.30,34793.20,34143.20,34693.15,0
Nifty Bank,2022-05-12,34289.10,34341.20,33297.65,33532.15,0
Nifty Bank,2022-05-13,33925.95,34002.20,33007.90,33121.35,0
Nifty Bank,2022-05-16,33256.00,33821.65,33001.75,33597.60,0
Nifty Bank,2022-05-17,33796.20,34366.05,33680.60,34301.90,0
Nifty Bank,2022-05-18,34448.20,34655.80,34134.70,34163.70,0
Nifty Bank,2022-05-19,33461.00,33633.95,33180.60,33315.65,0
Nifty Bank,2022-05-20,33765.15,34358.05,33658.05,34276.40,0
Nifty Bank,2022-05-23,34321.40,34819.95,34117.35,34247.60,0
Nifty Bank,2022-05-24,34223.20,34586.45,34115.80,34290.15,0
Nifty Bank,2022-05-25,34491.80,34722.60,34285.80,34339.50,0
Nifty Bank,2022-05-26,34670.60,35222.05,34424.75,35094.90,0
Nifty Bank,2022-05-27,35326.60,35694.85,35291.95,35613.30,0
Nifty Bank,2022-05-30,35958.80,36083.70,35748.45,35826.95,0
Nifty Bank,2022-05-31,35615.30,35881.95,35288.95,35487.40,0
Nifty Bank,2022-06-01,35358.95,35768.70,35285.45,35620.80,0
Nifty Bank,2022-06-02,35470.95,35676.20,35385.00,35613.65,0
Nifty Bank,2022-06-03,35929.55,35958.45,35175.10,35275.05,0
Nifty Bank,2022-06-06,35159.15,35424.50,35072.30,35310.20,0
Nifty Bank,2022-06-07,35080.80,35154.30,34834.40,34996.00,0
Nifty Bank,2022-06-08,35165.65,35449.90,34831.75,34946.15,0
Nifty Bank,2022-06-09,34802.25,35149.10,34659.10,35085.45,0
Nifty Bank,2022-06-10,34686.95,34752.45,34346.65,34483.80,0
Nifty Bank,2022-06-13,33728.65,33774.05,33210.35,33405.85,0
Nifty Bank,2022-06-14,33180.60,33618.15,33123.90,33311.35,0
Nifty Bank,2022-06-15,33317.80,33554.55,33249.55,33339.00,0
Nifty Bank,2022-06-16,33648.80,33756.50,32537.95,32617.10,0
Nifty Bank,2022-06-17,32393.45,32889.80,32290.55,32743.05,0
Nifty Bank,2022-06-20,32873.40,32926.10,32426.40,32684.80,0
Nifty Bank,2022-06-21,32978.05,33593.80,32797.55,33191.75,0
Nifty Bank,2022-06-22,33051.65,33106.95,32758.15,32845.30,0
Nifty Bank,2022-06-23,32927.40,33431.75,32652.15,33135.00,0
Nifty Bank,2022-06-24,33434.80,33721.90,33390.85,33627.45,0
Nifty Bank,2022-06-27,34126.20,34147.50,33735.50,33811.25,0
Nifty Bank,2022-06-28,33578.20,33745.30,33503.30,33642.45,0
Nifty Bank,2022-06-29,33273.55,33422.80,33185.25,33269.90,0
Nifty Bank,2022-06-30,33180.70,33659.30,33179.60,33425.10,0
Nifty Bank,2022-07-01,33264.75,33666.50,33080.45,33539.45,0
Nifty Bank,2022-07-04,33558.85,33978.50,33515.60,33940.90,0
Nifty Bank,2022-07-05,34084.70,34361.05,33757.00,33815.90,0
Nifty Bank,2022-07-06,33929.40,34388.50,33876.15,34324.25,0
Nifty Bank,2022-07-07,34627.40,34965.75,34553.10,34920.30,0
Nifty Bank,2022-07-08,35258.90,35262.10,34977.75,35124.05,0
Nifty Bank,2022-07-11,35017.60,35543.10,35006.55,35469.65,0
Nifty Bank,2022-07-12,35298.70,35419.65,35047.50,35132.25,0
Nifty Bank,2022-07-13,35259.80,35308.15,34757.60,34827.80,0
Nifty Bank,2022-07-14,34817.95,35027.60,34558.45,34651.20,0
Nifty Bank,2022-07-15,34734.45,34899.95,34463.90,34682.65,0
Nifty Bank,2022-07-18,34841.85,35382.50,34804.40,35358.70,0
Nifty Bank,2022-07-19,35113.25,35761.65,35110.50,35720.35,0
Nifty Bank,2022-07-20,36061.30,36182.70,35876.55,35972.10,0
Nifty Bank,2022-07-21,36026.55,36331.70,35887.35,36201.00,0
Nifty Bank,2022-07-22,36322.90,36823.45,36286.35,36738.95,0
Nifty Bank,2022-07-25,36766.70,37011.20,36464.65,36726.40,0
Nifty Bank,2022-07-26,36688.55,36695.75,36334.10,36408.50,0
Nifty Bank,2022-07-27,36370.55,36808.30,36248.60,36783.75,0
Nifty Bank,2022-07-28,37102.45,37414.40,37028.50,37378.15,0
Nifty Bank,2022-07-29,37717.30,37754.65,37221.15,37491.40,0
Nifty Bank,2022-08-01,37594.15,37939.60,37407.20,37903.20,0
Nifty Bank,2022-08-02,37767.70,38179.85,37632.30,38024.00,0
Nifty Bank,2022-08-03,37954.55,38068.60,37692.95,37989.25,0
Nifty Bank,2022-08-04,38111.05,38231.85,37249.50,37755.55,0
Nifty Bank,2022-08-05,37868.25,38150.45,37779.90,37920.60,0
Nifty Bank,2022-08-08,37847.35,38302.35,37681.45,38237.40,0
Nifty Bank,2022-08-10,38298.85,38402.95,38155.30,38287.85,0
Nifty Bank,2022-08-11,38712.95,38932.10,38648.90,38879.85,0
Nifty Bank,2022-08-12,38942.45,39088.90,38739.95,39042.30,0
Nifty Bank,2022-08-16,39284.10,39444.60,39119.90,39239.65,0
Nifty Bank,2022-08-17,39351.30,39504.50,39202.80,39461.70,0
Nifty Bank,2022-08-18,39324.40,39703.70,39291.15,39656.15,0
Nifty Bank,2022-08-19,39732.65,39759.15,38848.40,38985.95,0
Nifty Bank,2022-08-22,38693.65,38732.85,38247.25,38297.75,0
Nifty Bank,2022-08-23,37955.45,38869.90,37950.85,38697.65,0
Nifty Bank,2022-08-24,38552.70,39120.80,38552.20,39038.50,0
Nifty Bank,2022-08-25,39190.05,39471.75,38803.70,38950.75,0
Nifty Bank,2022-08-26,39129.65,39337.10,38846.80,38987.15,0
Nifty Bank,2022-08-29,38111.60,38397.10,37943.85,38276.70,0
Nifty Bank,2022-08-30,38516.95,39606.55,38472.70,39536.75,0
Nifty Bank,2022-09-01,38806.70,39667.65,38803.30,39301.25,0
Nifty Bank,2022-09-02,39422.30,39595.85,39200.45,39421.00,0
Nifty Bank,2022-09-05,39412.05,39865.20,39407.40,39805.75,0
Nifty Bank,2022-09-06,39892.95,40073.75,39564.30,39666.50,0
Nifty Bank,2022-09-07,39337.75,39572.05,39258.25,39455.90,0
Nifty Bank,2022-09-08,39763.90,40265.75,39706.40,40208.95,0
Nifty Bank,2022-09-09,40520.75,40685.95,40280.30,40415.70,0
Nifty Bank,2022-09-12,40540.45,40684.90,40377.90,40574.00,0
Nifty Bank,2022-09-13,40802.10,40904.30,40693.95,40873.10,0
Nifty Bank,2022-09-14,40308.80,41626.90,40288.90,41405.40,0
Nifty Bank,2022-09-15,41533.70,41840.15,41153.50,41209.20,0
Nifty Bank,2022-09-16,40977.20,41162.50,40502.05,40776.80,0
Nifty Bank,2022-09-19,40685.60,41184.25,40509.90,40904.40,0
Nifty Bank,2022-09-20,41304.15,41677.65,41207.30,41468.30,0
Nifty Bank,2022-09-21,41282.60,41501.70,40889.15,41203.45,0
Nifty Bank,2022-09-22,40889.05,41159.20,40360.20,40630.60,0
Nifty Bank,2022-09-23,40429.35,40528.40,39412.70,39546.25,0
Nifty Bank,2022-09-26,39027.85,39229.40,38492.20,38616.25,0
Nifty Bank,2022-09-27,38811.70,39050.50,38184.90,38359.15,0
Nifty Bank,2022-09-28,38081.25,38368.80,37626.20,37759.85,0
Nifty Bank,2022-09-29,38092.85,38283.40,37536.65,37647.75,0
Nifty Bank,2022-09-30,37660.00,38811.00,37386.35,38631.95,0
Nifty Bank,2022-10-03,38444.90,38641.60,37963.25,38029.65,0
Nifty Bank,2022-10-04,38700.40,39177.50,38596.90,39110.05,0
Nifty Bank,2022-10-06,39343.70,39608.35,39232.90,39282.85,0
Nifty Bank,2022-10-07,39093.50,39235.05,38807.50,39178.05,0
Nifty Bank,2022-10-10,38641.55,39315.70,38518.30,39093.10,0
Nifty Bank,2022-10-11,39058.85,39174.95,38622.75,38712.45,0
Nifty Bank,2022-10-12,38784.20,39164.10,38606.40,39118.55,0
Nifty Bank,2022-10-13,38957.65,39061.30,38437.95,38624.00,0
Nifty Bank,2022-10-14,39446.05,39570.85,39196.30,39305.60,0
Nifty Bank,2022-10-17,39295.60,39974.70,39146.70,39920.45,0
Nifty Bank,2022-10-18,40252.05,40435.35,40139.85,40318.75,0
Nifty Bank,2022-10-19,40556.65,40643.60,40195.20,40373.20,0
Nifty Bank,2022-10-20,40149.50,40208.35,39848.85,40099.55,0
Nifty Bank,2022-10-21,40370.75,41032.25,40355.45,40784.05,0
Nifty Bank,2022-10-24,41348.35,41427.25,41201.15,41304.90,0
Nifty Bank,2022-10-25,41513.65,41530.65,41021.45,41122.75,0
Nifty Bank,2022-10-27,41440.70,41511.80,41178.65,41299.30,0
Nifty Bank,2022-10-28,41236.80,41482.40,40839.30,40990.85,0
Nifty Bank,2022-10-31,41265.70,41353.70,41106.10,41307.90,0
Nifty Bank,2022-11-01,41552.40,41677.25,41188.55,41289.55,0
Nifty Bank,2022-11-02,41472.60,41474.30,41060.45,41146.65,0
Nifty Bank,2022-11-03,40873.70,41478.00,40819.15,41298.35,0
Nifty Bank,2022-11-04,41314.85,41516.20,41051.15,41258.45,0
Nifty Bank,2022-11-07,41740.65,41779.40,41337.05,41686.70,0
Nifty Bank,2022-11-09,41914.85,41948.90,41667.90,41783.20,0
Nifty Bank,2022-11-10,41462.85,41643.90,41318.60,41603.75,0
Nifty Bank,2022-11-11,42163.40,42345.50,41918.10,42137.05,0
Nifty Bank,2022-11-14,42177.55,42231.45,41965.45,42076.75,0
Nifty Bank,2022-11-15,42234.85,42450.05,42079.55,42372.70,0
Nifty Bank,2022-11-16,42371.80,42611.75,42296.30,42535.30,0
Nifty Bank,2022-11-17,42399.65,42622.75,42366.55,42458.05,0
Nifty Bank,2022-11-18,42545.75,42590.75,42223.70,42437.45,0
Nifty Bank,2022-11-21,42286.95,42386.80,42202.55,42346.55,0
Nifty Bank,2022-11-22,42467.40,42508.75,42347.15,42457.05,0
Nifty Bank,2022-11-23,42668.55,42860.55,42556.40,42729.10,0
Nifty Bank,2022-11-24,42838.35,43163.40,42769.65,43075.40,0
Nifty Bank,2022-11-25,43192.45,43339.15,42864.95,42983.95,0
Nifty Bank,2022-11-28,42757.20,43159.80,42740.00,43020.45,0
Nifty Bank,2022-11-29,42959.40,43279.60,42959.40,43053.45,0
Nifty Bank,2022-11-30,43122.75,43332.30,42880.05,43231.00,0
Nifty Bank,2022-12-01,43512.10,43515.05,43101.85,43260.65,0
Nifty Bank,2022-12-02,42976.70,43131.90,42937.80,43103.75,0
Nifty Bank,2022-12-05,43269.35,43372.15,42985.00,43332.95,0
Nifty Bank,2022-12-06,43093.90,43306.85,43076.40,43138.55,0
